City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Axim,GH,4.8699,-2.2405,85.37,69,100,9.78,overcast clouds
111,Okahandja,NA,-21.9833,16.9167,80.6,34,80,6.91,broken clouds
112,Dikson,RU,73.5069,80.5464,-22.18,96,100,17.96,overcast clouds
113,Bongandanga,CD,1.5,21.05,76.06,85,100,9.06,moderate rain
114,Izumo,JP,35.3667,132.7667,42.8,81,40,6.91,scattered clouds
115,Hailun,CN,47.45,126.9333,21.67,86,0,9.01,clear sky
116,Evensk,RU,61.95,159.2333,-5.33,73,95,6.76,overcast clouds
117,Fethiye,TR,36.6217,29.1164,59.0,55,75,4.61,broken clouds
118,Jalpaiguri,IN,26.5167,88.7333,74.08,45,100,6.29,overcast clouds
119,Aykhal,RU,66.0,111.5,-5.1,94,5,14.9,clear sky
120,Odweyne,SO,9.4092,45.064,77.85,24,0,9.73,clear sky
121,Henties Bay,NA,-22.116,14.2845,64.99,91,6,7.0,clear sky
122,Bend,US,44.0582,-121.3153,41.0,55,1,5.75,clear sky
123,Chokurdakh,RU,70.6333,147.9167,-21.15,91,0,3.62,clear sky
124,Shagonar,RU,51.5333,92.8,15.1,58,100,26.62,light snow
125,Yatou,CN,37.15,122.3833,42.94,73,2,3.4,clear sky
126,Beringovskiy,RU,63.05,179.3167,16.12,93,8,6.42,clear sky
127,Vila,PT,42.0304,-8.1588,51.01,77,79,8.01,broken clouds
128,Abalak,RU,58.1286,68.5944,20.3,91,100,8.34,overcast clouds
129,Sayyan,YE,15.1718,44.3244,67.23,21,0,11.59,clear sky
130,Boyolangu,ID,-8.1181,111.8935,75.7,86,100,0.78,overcast clouds
131,Tyukalinsk,RU,55.8732,72.1967,8.06,94,95,10.38,overcast clouds
132,Malazgirt,TR,39.1427,42.5401,20.25,74,5,1.7,clear sky
133,Sao Filipe,CV,14.8961,-24.4956,73.51,65,9,8.08,clear sky
134,Houston,US,29.7633,-95.3633,75.2,83,75,12.66,haze
135,Udachnyy,RU,66.4167,112.4,-4.61,90,17,11.9,few clouds
136,Taraz,KZ,42.9,71.3667,17.6,93,90,4.47,snow
137,Aksha,RU,50.2814,113.2867,31.05,67,2,3.71,clear sky
138,Port Elizabeth,ZA,-33.918,25.5701,73.4,68,0,17.27,clear sky
139,La Solana,ES,38.9442,-3.2381,63.0,40,17,3.0,few clouds
140,Changji,CN,44.0167,87.3167,37.4,75,0,2.24,clear sky
141,Kahului,US,20.8947,-156.47,66.0,78,84,5.57,moderate rain
142,Tabas,IR,33.5959,56.9244,47.41,43,0,10.74,clear sky
143,Bambous Virieux,MU,-20.3428,57.7575,80.6,78,40,11.5,scattered clouds
144,San Quintin,MX,30.4833,-115.95,53.87,61,17,4.59,few clouds
145,Werda,BW,-25.2667,23.2833,84.65,31,64,8.19,broken clouds
146,Iquitos,PE,-3.7481,-73.2472,87.8,62,75,8.05,broken clouds
147,Manggar,ID,-2.8833,108.2667,78.67,86,0,5.99,clear sky
148,Victoria,HK,22.2855,114.1577,71.01,83,5,1.99,clear sky
149,Lata,PT,40.1629,-8.3327,60.01,60,38,3.0,scattered clouds
150,Westport,US,41.1415,-73.3579,41.0,24,1,19.57,clear sky
151,Sitka,US,57.0531,-135.33,30.2,64,20,17.27,few clouds
152,Gayeri,BF,12.6497,0.4931,97.9,9,21,8.84,few clouds
153,Majene,ID,-3.5403,118.9707,78.71,79,12,3.74,few clouds
154,Ukiah,US,39.1502,-123.2078,43.0,81,1,2.26,clear sky
155,Gamba,GA,-2.65,10.0,82.45,77,95,8.14,overcast clouds
156,Camacha,PT,33.0833,-16.3333,60.8,94,40,14.97,fog
