City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
105,Cherskiy,68.75,161.3,-9.35,93,100,17.54,RU,2021-03-13 10:02:54
106,Lanzhou,36.0564,103.7922,69.8,10,0,8.95,CN,2021-03-13 09:59:57
107,Mar Del Plata,-38.0023,-57.5575,60.01,93,0,3.44,AR,2021-03-13 10:02:54
108,Lagoa,39.05,-27.9833,59.45,85,100,20.62,PT,2021-03-13 10:02:55
109,Leh,34.1667,77.5833,33.03,43,0,2.68,IN,2021-03-13 10:02:55
110,Oussouye,12.485,-16.5469,75.2,60,0,6.91,SN,2021-03-13 10:02:55
111,Nanortalik,60.1432,-45.2371,21.04,53,100,5.5,GL,2021-03-13 10:02:55
112,Leningradskiy,69.3833,178.4167,17.64,85,100,10.45,RU,2021-03-13 10:02:55
113,Sitka,57.0531,-135.33,32.0,64,90,9.22,US,2021-03-13 10:02:55
114,Iguape,-24.7081,-47.5553,73.29,93,53,3.56,BR,2021-03-13 10:02:55
115,Sept-Iles,50.2001,-66.3821,23.0,54,90,16.11,CA,2021-03-13 10:02:55
116,Maniitsoq,65.4167,-52.9,12.63,76,84,7.02,GL,2021-03-13 10:02:56
117,Clonakilty,51.6231,-8.8706,39.99,87,40,13.8,IE,2021-03-13 10:02:56
118,Wagar,16.1525,36.2032,99.81,19,0,8.61,SD,2021-03-13 10:02:56
119,Eydhafushi,5.1033,73.0708,83.52,72,45,12.41,MV,2021-03-13 10:00:05
120,Tuktoyaktuk,69.4541,-133.0374,-10.88,99,100,8.93,CA,2021-03-13 10:02:56
121,Middelburg,-25.7751,29.4648,83.14,17,0,11.95,ZA,2021-03-13 10:02:56
122,Vuktyl,63.8567,57.3094,19.44,82,0,12.93,RU,2021-03-13 10:02:56
123,Qaanaaq,77.484,-69.3632,-3.84,65,99,4.74,GL,2021-03-13 10:02:57
124,Ihiala,5.8538,6.8603,87.78,55,96,4.85,NG,2021-03-13 10:02:58
125,Esperance,-33.8667,121.9,62.6,51,10,13.8,AU,2021-03-13 10:00:34
126,Senador Jose Porfirio,-2.5908,-51.9542,72.41,94,100,1.07,BR,2021-03-13 10:02:58
127,Mehamn,71.0357,27.8492,21.56,83,90,6.71,NO,2021-03-13 10:02:58
128,Huarmey,-10.0681,-78.1522,70.34,87,46,6.11,PE,2021-03-13 10:02:58
129,Stara Vyzhivka,51.4376,24.44,45.82,61,48,17.72,UA,2021-03-13 10:02:58
130,Huayang,34.4155,109.9939,56.68,58,0,7.9,CN,2021-03-13 10:02:58
131,Trelew,-43.249,-65.3051,68.16,24,0,7.78,AR,2021-03-13 10:02:58
132,Ponta Do Sol,32.6667,-17.1,62.01,63,100,3.0,PT,2021-03-13 10:02:58
133,Gobabis,-22.45,18.9667,83.62,32,0,11.86,NA,2021-03-13 10:02:59
134,Elko,41.0002,-115.5012,28.0,68,1,3.36,US,2021-03-13 10:02:59
135,Hay River,60.8156,-115.7999,-7.6,71,34,8.05,CA,2021-03-13 10:02:59
136,Almaznyy,48.0448,40.045,28.4,74,75,13.42,RU,2021-03-13 10:02:59
137,Longyearbyen,78.2186,15.6401,12.2,67,75,8.05,SJ,2021-03-13 10:03:00
138,Airai,-8.9266,125.4092,63.41,97,100,0.74,TL,2021-03-13 10:03:00
139,Orangeburg,33.4918,-80.8557,55.0,94,1,3.44,US,2021-03-13 10:03:00
140,Aitape,-3.1374,142.3475,80.22,81,25,2.91,PG,2021-03-13 10:03:00
141,Severo-Kurilsk,50.6789,156.125,26.94,86,62,19.01,RU,2021-03-13 10:03:00
142,Shimanovsk,52.0,127.7,31.48,95,99,3.04,RU,2021-03-13 10:03:00
143,Bad Liebenwerda,51.5167,13.4,48.99,71,75,13.8,DE,2021-03-13 10:03:00
144,Trairi,-3.2778,-39.2689,76.3,89,74,5.77,BR,2021-03-13 10:03:00
145,Tautira,-17.7333,-149.15,78.8,83,0,3.44,PF,2021-03-13 10:03:00
146,Wicklow,53.0,-6.4167,39.99,81,40,18.41,IE,2021-03-13 10:03:00
147,Meulaboh,4.1363,96.1285,81.36,80,71,4.81,ID,2021-03-13 10:03:01
148,Dakar,14.6937,-17.4441,68.0,77,0,9.22,SN,2021-03-13 10:02:41
149,Thompson,55.7435,-97.8558,21.2,68,20,8.05,CA,2021-03-13 10:03:01
150,Sorland,67.667,12.6934,39.85,88,100,24.7,NO,2021-03-13 10:03:01
151,Tiksi,71.6872,128.8694,-6.72,93,60,12.46,RU,2021-03-13 10:03:01
152,Palmer,42.1584,-72.3287,30.2,40,1,20.71,US,2021-03-13 10:03:01
153,Hambantota,6.1241,81.1185,91.4,62,75,11.5,LK,2021-03-13 09:58:09
154,Disna,55.568,28.1971,38.97,81,98,13.94,BY,2021-03-13 10:03:01
155,Narsaq,60.9167,-46.05,15.8,53,90,3.44,GL,2021-03-13 10:03:02
156,Vagur,61.4732,-6.8119,42.51,74,100,25.52,FO,2021-03-13 10:03:02
157,Husainabad,24.5333,84.0167,92.17,22,58,4.14,IN,2021-03-13 10:00:05
158,Ponta Delgada,37.7333,-25.6667,59.0,94,75,11.5,PT,2021-03-13 10:03:03
159,Quang Ngai,15.1167,108.8,77.83,77,15,7.83,VN,2021-03-13 09:58:30
160,Simao,22.7886,100.9748,81.41,17,0,2.26,CN,2021-03-13 10:03:03
161,Nikolskoye,59.7035,30.7861,37.4,87,90,17.9,RU,2021-03-13 10:03:03
162,Sena Madureira,-9.0656,-68.6569,68.77,98,40,1.25,BR,2021-03-13 10:03:03
163,Nome,64.5011,-165.4064,8.6,78,100,26.46,US,2021-03-13 10:03:04
164,Isla Vista,34.4133,-119.861,48.2,81,1,6.91,US,2021-03-13 10:03:04
165,Ancud,-41.8697,-73.8203,49.17,90,71,4.07,CL,2021-03-13 10:03:04
166,Sokolo,14.7328,-6.1219,81.45,12,0,15.9,ML,2021-03-13 10:03:04
167,High Level,58.5169,-117.136,14.0,62,20,9.22,CA,2021-03-13 10:03:04
168,Chama,47.1821,8.4636,53.6,40,79,14.97,CH,2021-03-13 10:03:04
169,Shenjiamen,29.9576,122.298,50.72,83,37,7.45,CN,2021-03-13 10:01:57
170,Chapais,49.7834,-74.8492,-4.0,77,75,12.66,CA,2021-03-13 10:03:04
171,Pachino,36.7186,15.0907,59.0,72,20,4.61,IT,2021-03-13 10:03:05
172,Faanui,-16.4833,-151.75,83.26,64,8,3.36,PF,2021-03-13 10:03:05
173,Mayo,38.8876,-76.5119,51.8,35,1,10.36,US,2021-03-13 10:03:05
174,Sao Filipe,14.8961,-24.4956,71.44,68,0,7.43,CV,2021-03-13 10:03:05
175,Amanpur,27.7167,78.75,91.31,17,0,5.35,IN,2021-03-13 10:03:05
176,Vestmannaeyjar,63.4427,-20.2734,32.0,59,20,23.02,IS,2021-03-13 10:03:05
177,Cruz Grande,16.7333,-99.1333,69.58,81,0,3.6,MX,2021-03-13 10:03:05
178,Mount Gambier,-37.8333,140.7667,55.4,62,40,12.66,AU,2021-03-13 10:00:06
179,Cayenne,4.9333,-52.3333,72.0,100,90,2.68,GF,2021-03-13 10:03:05
180,Hit,33.6416,42.8251,61.95,22,0,13.15,IQ,2021-03-13 10:03:05
181,Bethel,41.3712,-73.414,30.99,41,0,5.99,US,2021-03-13 10:03:06
182,Cockburn Town,21.4612,-71.1419,75.02,79,1,19.26,TC,2021-03-13 10:03:06
183,Provideniya,64.3833,-173.3,30.61,97,100,20.24,RU,2021-03-13 10:03:06
184,Kamaishi,39.2667,141.8833,42.8,81,75,10.36,JP,2021-03-13 10:03:06
185,Klaksvik,62.2266,-6.589,39.2,93,75,21.85,FO,2021-03-13 10:03:06
186,Coquimbo,-29.9533,-71.3436,60.8,82,90,2.3,CL,2021-03-13 10:03:07
187,Katsuura,35.1333,140.3,53.01,80,0,9.66,JP,2021-03-13 10:03:07
188,Oyama,36.3,139.8,54.0,96,100,14.56,JP,2021-03-13 10:03:07
189,Byron Bay,-28.65,153.6167,75.2,78,0,8.05,AU,2021-03-13 10:01:04
190,Jeremie,18.65,-74.1167,74.71,81,18,8.95,HT,2021-03-13 10:03:07
191,Marigot,18.0667,-63.0833,75.2,83,20,2.3,MF,2021-03-13 10:03:07
192,Biak,-0.9131,122.8766,80.19,79,84,2.06,ID,2021-03-13 10:03:07
193,Pio Xii,-3.8325,-45.1525,72.77,97,94,1.61,BR,2021-03-13 10:03:07
194,Ossora,59.2353,163.0719,5.95,74,100,7.18,RU,2021-03-13 10:03:07
195,Algiers,36.7525,3.042,62.6,63,20,1.14,DZ,2021-03-13 09:59:53
196,Kavaratti,10.5669,72.642,83.8,63,0,5.46,IN,2021-03-13 10:03:08
197,Caravelas,-17.7125,-39.2481,73.76,80,1,2.57,BR,2021-03-13 10:03:08
198,Hami,42.8,93.45,64.56,18,93,2.8,CN,2021-03-13 10:01:56
199,Kawardha,22.0167,81.25,94.41,17,34,2.95,IN,2021-03-13 10:03:08
200,Ankazoabo,-22.2833,44.5167,88.93,34,0,3.67,MG,2021-03-13 10:03:08
201,Bintulu,3.1667,113.0333,78.8,94,20,3.44,MY,2021-03-13 10:03:08
202,Mananara,-16.1667,49.7667,83.8,63,42,10.51,MG,2021-03-13 10:03:08
203,Lompoc,34.6391,-120.4579,51.8,82,90,5.75,US,2021-03-13 10:03:08
204,Penzance,50.1186,-5.5371,45.0,76,40,31.07,GB,2021-03-13 10:03:09
205,Mukhen,48.1,136.1,29.86,89,8,4.85,RU,2021-03-13 10:03:09
206,Bhatapara,21.7333,81.9333,86.0,42,20,2.3,IN,2021-03-13 10:03:09
207,Ilulissat,69.2167,-51.1,5.0,51,93,2.3,GL,2021-03-13 10:03:09
208,Nelson Bay,-32.7167,152.15,78.8,73,90,8.05,AU,2021-03-13 10:03:09
209,Bengkulu,-3.8004,102.2655,82.9,72,98,6.29,ID,2021-03-13 10:00:40
210,Gambiran,-6.7988,111.4951,80.98,84,77,3.69,ID,2021-03-13 10:03:09
211,Elbistan,38.2059,37.1983,43.02,33,0,1.41,TR,2021-03-13 10:03:09
212,Hasaki,35.7333,140.8333,54.0,94,75,12.66,JP,2021-03-13 10:00:58
213,Beyneu,45.3167,55.2,28.99,31,50,11.3,KZ,2021-03-13 10:03:10
214,Chuy,-33.6971,-53.4616,65.64,90,50,6.02,UY,2021-03-13 10:03:10
215,Dmitriyevskaya,45.6564,40.7653,39.0,56,75,7.4,RU,2021-03-13 10:03:10
216,Hithadhoo,-0.6,73.0833,84.0,61,5,5.59,MV,2021-03-13 10:03:10
217,Chegdomyn,51.1167,133.0167,29.25,87,94,5.06,RU,2021-03-13 10:03:10
